AUTHORITATIVE record of the 2026-07-27 01:56 accidental deletion.
Source: NTFS USN change journal (fsutil usn readjournal C:), parsed for File-delete
records in the incident minute. Preserved here because the journal is capped at 32 MB
and wraps within about a day -- after that this list cannot be reconstructed.
USN records carry the NAME, not the path. RESTORED = a file of that name exists in the
repo again (the deletion took whole trees, so a name returning means its tree returned).

3194 distinct names deleted; 2712 restored; 482 still absent.

STATUS     KIND   NAME
ABSENT     file   archive_integrity_write.log
ABSENT     DIR    attribution_rewrite_backup
ABSENT     DIR    bank_gate_logs
ABSENT     DIR    baseline_differential_sharpe
ABSENT     DIR    baseline_differential_sharpe-s0
ABSENT     DIR    baseline_differential_sharpe-s1
ABSENT     DIR    baseline_differential_sharpe-s2
ABSENT     DIR    baseline_raw_return
ABSENT     DIR    baseline_raw_return-s0
ABSENT     DIR    baseline_raw_return-s1
ABSENT     DIR    baseline_return_minus_cvar
ABSENT     DIR    baseline_return_minus_variance
RESTORED   DIR    baselines
ABSENT     file   baselines.json
ABSENT     file   baselines.sh
ABSENT     DIR    batches
RESTORED   DIR    bayes_opt
RESTORED   DIR    bayes_opt-c0
RESTORED   DIR    bayes_opt-c1
RESTORED   DIR    bayes_opt-c10
RESTORED   DIR    bayes_opt-c11
RESTORED   DIR    bayes_opt-c12
RESTORED   DIR    bayes_opt-c13
RESTORED   DIR    bayes_opt-c14
RESTORED   DIR    bayes_opt-c15
RESTORED   DIR    bayes_opt-c16
RESTORED   DIR    bayes_opt-c17
RESTORED   DIR    bayes_opt-c18
RESTORED   DIR    bayes_opt-c19
RESTORED   DIR    bayes_opt-c2
RESTORED   DIR    bayes_opt-c20
RESTORED   DIR    bayes_opt-c21
RESTORED   DIR    bayes_opt-c22
RESTORED   DIR    bayes_opt-c23
RESTORED   DIR    bayes_opt-c24
RESTORED   DIR    bayes_opt-c25
RESTORED   DIR    bayes_opt-c26
RESTORED   DIR    bayes_opt-c27
RESTORED   DIR    bayes_opt-c28
RESTORED   DIR    bayes_opt-c29
RESTORED   DIR    bayes_opt-c3
RESTORED   DIR    bayes_opt-c30
RESTORED   DIR    bayes_opt-c31
RESTORED   DIR    bayes_opt-c32
RESTORED   DIR    bayes_opt-c33
RESTORED   DIR    bayes_opt-c34
RESTORED   DIR    bayes_opt-c35
RESTORED   DIR    bayes_opt-c36
RESTORED   DIR    bayes_opt-c37
RESTORED   DIR    bayes_opt-c38
RESTORED   DIR    bayes_opt-c39
RESTORED   DIR    bayes_opt-c4
RESTORED   DIR    bayes_opt-c5
RESTORED   DIR    bayes_opt-c6
RESTORED   DIR    bayes_opt-c7
RESTORED   DIR    bayes_opt-c8
RESTORED   DIR    bayes_opt-c9
ABSENT     DIR    bayes_opt-s0-c0
ABSENT     DIR    bayes_opt-s0-c1
ABSENT     DIR    bayes_opt_c0
ABSENT     file   bayes_opt_c0.json
ABSENT     file   bayes_opt_c0.sh
RESTORED   file   bstar_rule_verdict.json
ABSENT     file   build_univ5.err
ABSENT     file   build_univ5.log
ABSENT     file   bytecheck_2026-07-03.log
RESTORED   DIR    campaign
RESTORED   DIR    campaign_dryrun
RESTORED   file   campaign_overfitting.json
RESTORED   file   campaign_overfitting.md
RESTORED   file   campaign_summary.json
ABSENT     file   campaign_summary_leg_qwen3_5_9b.json
ABSENT     file   campaign_summary_mr1.json
ABSENT     file   campaign_summary_mr2.json
RESTORED   file   cash_features_pilot.parquet
RESTORED   file   cash_features_pilot.parquet.provenance.json
RESTORED   file   cash_features_shadow30.parquet
RESTORED   file   cash_features_shadow30.parquet.provenance.json
RESTORED   file   cash_features_univ.parquet
RESTORED   file   cash_features_univ.parquet.provenance.json
RESTORED   file   cash_features_univ2.parquet
RESTORED   file   cash_features_univ2.parquet.provenance.json
RESTORED   file   cash_features_univ3.parquet
RESTORED   file   cash_features_univ3.parquet.provenance.json
RESTORED   file   cash_features_univ3s.parquet
RESTORED   file   cash_features_univ3s.parquet.provenance.json
RESTORED   file   cash_features_univ4.parquet
RESTORED   file   cash_features_univ4.parquet.provenance.json
RESTORED   file   cash_features_univ5.parquet
RESTORED   file   cash_features_univ5.parquet.provenance.json
RESTORED   file   cash_features_univ5s.parquet
RESTORED   file   cash_features_univ5s.parquet.provenance.json
RESTORED   file   cash_features_v2.parquet
RESTORED   file   cash_features_v2.parquet.provenance.json
RESTORED   DIR    certification
ABSENT     DIR    certify_394408d64e4f
RESTORED   file   certify_commit.py
RESTORED   file   checksums.txt
RESTORED   DIR    clean
RESTORED   file   clean_returns_pilot.parquet
RESTORED   file   clean_returns_pilot.parquet.provenance.json
RESTORED   file   clean_returns_shadow30.parquet
RESTORED   file   clean_returns_shadow30.parquet.provenance.json
RESTORED   file   clean_returns_shumway_univ4.parquet
RESTORED   file   clean_returns_shumway_univ4.parquet.provenance.json
RESTORED   file   clean_returns_shumway_univ5s.parquet
RESTORED   file   clean_returns_shumway_univ5s.parquet.provenance.json
RESTORED   file   clean_returns_univ.parquet
RESTORED   file   clean_returns_univ.parquet.provenance.json
RESTORED   file   clean_returns_univ2.parquet
RESTORED   file   clean_returns_univ2.parquet.provenance.json
RESTORED   file   clean_returns_univ3.parquet
RESTORED   file   clean_returns_univ3.parquet.provenance.json
RESTORED   file   clean_returns_univ3s.parquet
RESTORED   file   clean_returns_univ3s.parquet.provenance.json
RESTORED   file   clean_returns_univ4.parquet
RESTORED   file   clean_returns_univ4.parquet.provenance.json
RESTORED   file   clean_returns_univ5.parquet
RESTORED   file   clean_returns_univ5.parquet.provenance.json
RESTORED   file   clean_returns_univ5s.parquet
RESTORED   file   clean_returns_univ5s.parquet.provenance.json
RESTORED   file   clean_returns_v2.parquet
RESTORED   file   clean_returns_v2.parquet.provenance.json
RESTORED   file   commit_certificate.json
ABSENT     file   commondir
RESTORED   DIR    control
ABSENT     file   control.log
ABSENT     DIR    crash_rehearsal
ABSENT     DIR    crashed
ABSENT     file   crashed.log
RESTORED   file   custom_yfinance.jsonl
ABSENT     file   deepseek-v4-pro.jsonl
ABSENT     file   deepseek-v4-pro.summary.json
RESTORED   DIR    differential_sharpe
RESTORED   DIR    differential_sharpe-s0
RESTORED   DIR    differential_sharpe-s1
RESTORED   DIR    differential_sharpe-s10
RESTORED   DIR    differential_sharpe-s11
RESTORED   DIR    differential_sharpe-s12
RESTORED   DIR    differential_sharpe-s13
RESTORED   DIR    differential_sharpe-s14
RESTORED   DIR    differential_sharpe-s2
RESTORED   DIR    differential_sharpe-s3
RESTORED   DIR    differential_sharpe-s4
RESTORED   DIR    differential_sharpe-s5
RESTORED   DIR    differential_sharpe-s6
RESTORED   DIR    differential_sharpe-s7
RESTORED   DIR    differential_sharpe-s8
RESTORED   DIR    differential_sharpe-s9
RESTORED   DIR    distributional
RESTORED   DIR    distributional-g0-c0
RESTORED   DIR    distributional-g0-c1
RESTORED   DIR    distributional-g0-c2
RESTORED   DIR    distributional-g0-c3
RESTORED   DIR    distributional-g0-c4
RESTORED   DIR    distributional-g1-c0
RESTORED   DIR    distributional-g1-c1
RESTORED   DIR    distributional-g1-c2
RESTORED   DIR    distributional-g1-c3
RESTORED   DIR    distributional-g1-c4
RESTORED   DIR    distributional-g2-c0
RESTORED   DIR    distributional-g2-c1
RESTORED   DIR    distributional-g2-c2
RESTORED   DIR    distributional-g2-c3
RESTORED   DIR    distributional-g2-c4
RESTORED   DIR    distributional-g3-c0
RESTORED   DIR    distributional-g3-c1
RESTORED   DIR    distributional-g3-c2
RESTORED   DIR    distributional-g3-c3
RESTORED   DIR    distributional-g3-c4
RESTORED   DIR    distributional-g4-c0
RESTORED   DIR    distributional-g4-c1
RESTORED   DIR    distributional-g4-c2
RESTORED   DIR    distributional-g4-c3
RESTORED   DIR    distributional-g4-c4
RESTORED   DIR    distributional-g5-c0
RESTORED   DIR    distributional-g5-c1
RESTORED   DIR    distributional-g5-c2
RESTORED   DIR    distributional-g5-c3
RESTORED   DIR    distributional-g5-c4
RESTORED   DIR    distributional-g6-c0
RESTORED   DIR    distributional-g6-c1
RESTORED   DIR    distributional-g6-c2
RESTORED   DIR    distributional-g6-c3
RESTORED   DIR    distributional-g6-c4
RESTORED   DIR    distributional-g7-c0
RESTORED   DIR    distributional-g7-c1
RESTORED   DIR    distributional-g7-c2
RESTORED   DIR    distributional-g7-c3
RESTORED   DIR    distributional-g7-c4
ABSENT     DIR    distributional-s0
RESTORED   DIR    distributional-s0-distributional-g0-c0
RESTORED   DIR    distributional-s0-distributional-g0-c1
ABSENT     file   distributional-s0-distributional.failures.jsonl
RESTORED   DIR    distributional-winner
ABSENT     DIR    distributional_g0
ABSENT     file   distributional_g0.json
ABSENT     file   distributional_g0.sh
ABSENT     DIR    distributional_g1
ABSENT     file   distributional_g1.json
ABSENT     file   distributional_g1.sh
ABSENT     DIR    driver_status
ABSENT     file   ebf538e0a88fff197503bbfa
RESTORED   file   env.json
RESTORED   file   events.jsonl
ABSENT     file   f11_budget_curve_preview.png
RESTORED   file   failures.jsonl
ABSENT     file   fed_delta_snr.json
ABSENT     file   fed_delta_snr.log
RESTORED   DIR    figures
RESTORED   file   fred_macro.csv
RESTORED   file   fred_macro.csv.provenance.json
RESTORED   file   fred_macro_x26.csv
RESTORED   file   fred_macro_x26.csv.provenance.json
ABSENT     file   freeze_check.log
RESTORED   file   french_F-F_Momentum_Factor_daily.csv
RESTORED   file   french_F-F_Momentum_Factor_daily.csv.provenance.json
RESTORED   file   french_F-F_Research_Data_Factors_daily.csv
RESTORED   file   french_F-F_Research_Data_Factors_daily.csv.provenance.json
RESTORED   file   french_ff3_daily_x26.csv
RESTORED   file   french_ff3_daily_x26.csv.provenance.json
RESTORED   file   french_mom_daily_x26.csv
RESTORED   file   french_mom_daily_x26.csv.provenance.json
RESTORED   DIR    frozen
RESTORED   DIR    frozen_h3_singleshot
ABSENT     file   gemini-3.5-flash.jsonl
ABSENT     file   gemini-3.5-flash.summary.json
ABSENT     file   gitdir
ABSENT     file   glm-5.2.jsonl
ABSENT     file   glm-5.2.summary.json
RESTORED   DIR    gold
ABSENT     file   gpt-5.6-luna.jsonl
ABSENT     file   gpt-5.6-luna.summary.json
ABSENT     file   haiku-4.5.jsonl
ABSENT     file   haiku-4.5.summary.json
RESTORED   file   index
ABSENT     file   index.json
RESTORED   file   integrity_report_univ3s.parquet
RESTORED   file   integrity_report_univ3s.parquet.provenance.json
RESTORED   file   invalidated.jsonl
ABSENT     file   kimi-k3.jsonl
ABSENT     file   kimi-k3.summary.json
RESTORED   file   learning_curve.json
RESTORED   file   learning_curve.md
RESTORED   file   learning_curve.png
ABSENT     file   learning_curve_2026-07-03.err
ABSENT     file   learning_curve_2026-07-03.log
ABSENT     file   learning_curve_2026-07-03_r3.err
ABSENT     file   learning_curve_2026-07-03_r3.log
RESTORED   file   learning_curve_baseline_preTurbo_2026-07-01.json
ABSENT     file   learning_curve_dist_winner_proto.json
ABSENT     file   learning_curve_dist_winner_proto.md
ABSENT     file   learning_curve_run.err
ABSENT     file   learning_curve_run.log
ABSENT     file   learning_curve_scalar_winner_proto.json
ABSENT     file   learning_curve_scalar_winner_proto.md
ABSENT     DIR    leg_gates_20260723
ABSENT     DIR    leg_gates_20260726_deep
ABSENT     DIR    leg_gates_20260726_promptAB
ABSENT     DIR    leg_gates_20260726_r112
ABSENT     DIR    leg_gates_20260726_recheck
ABSENT     DIR    leg_gates_20260726_smoke
ABSENT     DIR    leg_gates_thinkingoff_probe
RESTORED   file   lineage.jsonl
RESTORED   file   llm_calls.jsonl
ABSENT     file   locked
RESTORED   DIR    logs
ABSENT     file   make_prereg_bundle.log
RESTORED   DIR    manifest
RESTORED   file   manifest.jsonl
RESTORED   file   market_proxy_pilot.parquet
RESTORED   file   market_proxy_pilot.parquet.provenance.json
RESTORED   file   market_proxy_shadow30.parquet
RESTORED   file   market_proxy_shadow30.parquet.provenance.json
RESTORED   file   market_proxy_univ.parquet
RESTORED   file   market_proxy_univ.parquet.provenance.json
RESTORED   file   market_proxy_univ2.parquet
RESTORED   file   market_proxy_univ2.parquet.provenance.json
RESTORED   file   market_proxy_univ3.parquet
RESTORED   file   market_proxy_univ3.parquet.provenance.json
RESTORED   file   market_proxy_univ3s.parquet
RESTORED   file   market_proxy_univ3s.parquet.provenance.json
RESTORED   file   market_proxy_univ4.parquet
RESTORED   file   market_proxy_univ4.parquet.provenance.json
RESTORED   file   market_proxy_univ5.parquet
RESTORED   file   market_proxy_univ5.parquet.provenance.json
RESTORED   file   market_proxy_univ5s.parquet
RESTORED   file   market_proxy_univ5s.parquet.provenance.json
RESTORED   file   market_proxy_v2.parquet
RESTORED   file   market_proxy_v2.parquet.provenance.json
ABSENT     DIR    minirehearsal
ABSENT     DIR    mr_core_distributional_g0
ABSENT     file   mr_core_distributional_g0.driver.lock
ABSENT     file   mr_core_distributional_g0.json
ABSENT     file   mr_core_distributional_g0.sh
ABSENT     DIR    mr_core_scalar_g0
ABSENT     file   mr_core_scalar_g0.driver.lock
ABSENT     file   mr_core_scalar_g0.json
ABSENT     file   mr_core_scalar_g0.sh
ABSENT     DIR    mr_leg1_mr1_placebo_g0
ABSENT     file   mr_leg1_mr1_placebo_g0.driver.lock
ABSENT     file   mr_leg1_mr1_placebo_g0.json
ABSENT     file   mr_leg1_mr1_placebo_g0.sh
ABSENT     DIR    mr_leg1_mr1_scalar_cvar5_g0
ABSENT     file   mr_leg1_mr1_scalar_cvar5_g0.driver.lock
ABSENT     file   mr_leg1_mr1_scalar_cvar5_g0.json
ABSENT     file   mr_leg1_mr1_scalar_cvar5_g0.sh
ABSENT     DIR    mr_leg2_mr2_placebo_shuffled_g0
ABSENT     file   mr_leg2_mr2_placebo_shuffled_g0.driver.lock
ABSENT     file   mr_leg2_mr2_placebo_shuffled_g0.json
ABSENT     file   mr_leg2_mr2_placebo_shuffled_g0.qacct.txt
ABSENT     file   mr_leg2_mr2_placebo_shuffled_g0.sh
ABSENT     DIR    mr_leg2_mr2_placebo_shuffled_g0_r1
ABSENT     file   mr_leg2_mr2_placebo_shuffled_g0_r1.sh
ABSENT     DIR    mr_leg2_mr2_random_search_search
ABSENT     file   mr_leg2_mr2_random_search_search.driver.lock
ABSENT     file   mr_leg2_mr2_random_search_search.json
ABSENT     file   mr_leg2_mr2_random_search_search.sh
ABSENT     file   myriad_telemetry.jsonl
ABSENT     file   nemotron-3-super.jsonl
ABSENT     file   nemotron-3-super.summary.json
ABSENT     DIR    p1pack2
ABSENT     DIR    p1pack2-k0
ABSENT     DIR    p1pack2-k1
ABSENT     file   p1pack2.sh
ABSENT     DIR    p1pack2c4
ABSENT     DIR    p1pack2c4-k0
ABSENT     DIR    p1pack2c4-k1
ABSENT     file   p1pack2c4.sh
ABSENT     DIR    p1pack3
ABSENT     DIR    p1pack3-k0
ABSENT     DIR    p1pack3-k1
ABSENT     DIR    p1pack3-k2
ABSENT     file   p1pack3.sh
ABSENT     DIR    p1pack5
ABSENT     DIR    p1pack5-k0
ABSENT     DIR    p1pack5-k1
ABSENT     DIR    p1pack5-k2
ABSENT     DIR    p1pack5-k3
ABSENT     DIR    p1pack5-k4
ABSENT     file   p1pack5.sh
ABSENT     DIR    p1pack5a100
ABSENT     DIR    p1pack5a100-k0
ABSENT     DIR    p1pack5a100-k1
ABSENT     DIR    p1pack5a100-k2
ABSENT     DIR    p1pack5a100-k3
ABSENT     DIR    p1pack5a100-k4
ABSENT     file   p1pack5a100.sh
ABSENT     DIR    p1pack5b
ABSENT     DIR    p1pack5b-k0
ABSENT     DIR    p1pack5b-k1
ABSENT     DIR    p1pack5b-k2
ABSENT     DIR    p1pack5b-k3
ABSENT     DIR    p1pack5b-k4
ABSENT     file   p1pack5b.sh
ABSENT     DIR    p1pack8
ABSENT     DIR    p1pack8-k0
ABSENT     DIR    p1pack8-k1
ABSENT     DIR    p1pack8-k2
ABSENT     DIR    p1pack8-k3
ABSENT     DIR    p1pack8-k4
ABSENT     DIR    p1pack8-k5
ABSENT     DIR    p1pack8-k6
ABSENT     DIR    p1pack8-k7
ABSENT     file   p1pack8.sh
ABSENT     DIR    p1pack8a100
ABSENT     file   p1pack8a100.sh
ABSENT     DIR    p4det
ABSENT     DIR    p4det-t1
ABSENT     DIR    p4det-t2
ABSENT     file   p4det.sh
ABSENT     DIR    p4detb
ABSENT     DIR    p4detb-t1
ABSENT     DIR    p4detb-t2
ABSENT     file   p4detb.sh
ABSENT     file   p6_summary.json
ABSENT     DIR    p6dist
ABSENT     DIR    p6dist-b100000-s0
ABSENT     DIR    p6dist-b100000-s1
ABSENT     DIR    p6dist-b100000-s2
ABSENT     DIR    p6dist-b1600000-s0
ABSENT     DIR    p6dist-b1600000-s1
ABSENT     DIR    p6dist-b1600000-s2
ABSENT     DIR    p6dist-b200000-s0
ABSENT     DIR    p6dist-b200000-s1
ABSENT     DIR    p6dist-b200000-s2
ABSENT     DIR    p6dist-b400000-s0
ABSENT     DIR    p6dist-b400000-s1
ABSENT     DIR    p6dist-b400000-s2
ABSENT     DIR    p6dist-b800000-s0
ABSENT     DIR    p6dist-b800000-s1
ABSENT     DIR    p6dist-b800000-s2
ABSENT     DIR    p6e16c01
ABSENT     file   p6e16c01.sh
ABSENT     DIR    p6e16c02
ABSENT     file   p6e16c02.sh
ABSENT     DIR    p6e16c03
ABSENT     file   p6e16c03.sh
ABSENT     DIR    p6e16c04
ABSENT     file   p6e16c04.sh
ABSENT     DIR    p6e16c05
ABSENT     file   p6e16c05.sh
ABSENT     DIR    p6e16d01
ABSENT     file   p6e16d01.sh
ABSENT     DIR    p6e16d02
ABSENT     file   p6e16d02.sh
ABSENT     DIR    p6e16d03
ABSENT     file   p6e16d03.sh
ABSENT     DIR    p6e16d04
ABSENT     file   p6e16d04.sh
ABSENT     DIR    p6e16d05
ABSENT     file   p6e16d05.sh
ABSENT     DIR    p6e8c01
ABSENT     file   p6e8c01.sh
ABSENT     DIR    p6e8c02
ABSENT     file   p6e8c02.sh
ABSENT     DIR    p6e8c03
ABSENT     file   p6e8c03.sh
ABSENT     DIR    p6e8c04
ABSENT     file   p6e8c04.sh
ABSENT     DIR    p6e8c05
ABSENT     file   p6e8c05.sh
ABSENT     DIR    p6e8d01
ABSENT     file   p6e8d01.sh
ABSENT     DIR    p6e8d02
ABSENT     file   p6e8d02.sh
ABSENT     DIR    p6e8d03
ABSENT     file   p6e8d03.sh
ABSENT     DIR    p6e8d04
ABSENT     file   p6e8d04.sh
ABSENT     DIR    p6e8d05
ABSENT     file   p6e8d05.sh
ABSENT     DIR    p6e8d06
ABSENT     file   p6e8d06.sh
ABSENT     DIR    p6ext1600
ABSENT     file   p6ext1600.sh
ABSENT     DIR    p6ext1600b
ABSENT     file   p6ext1600b.sh
ABSENT     DIR    p6ext800
ABSENT     file   p6ext800.sh
ABSENT     DIR    p6ext800b
ABSENT     file   p6ext800b.sh
ABSENT     DIR    p6l4d01
ABSENT     file   p6l4d01.sh
ABSENT     DIR    p6l4d02
ABSENT     file   p6l4d02.sh
ABSENT     DIR    p6l4d03
ABSENT     file   p6l4d03.sh
ABSENT     DIR    p6l4d04
ABSENT     file   p6l4d04.sh
ABSENT     DIR    p6l4d05
ABSENT     file   p6l4d05.sh
ABSENT     DIR    p6l4d06
ABSENT     file   p6l4d06.sh
ABSENT     DIR    p6ladder
ABSENT     file   p6ladder.sh
ABSENT     DIR    p6lc01
ABSENT     file   p6lc01.sh
ABSENT     DIR    p6lc02
ABSENT     file   p6lc02.sh
ABSENT     DIR    p6lc03
ABSENT     file   p6lc03.sh
ABSENT     DIR    p6lc04
ABSENT     file   p6lc04.sh
ABSENT     DIR    p6lc05
ABSENT     file   p6lc05.sh
ABSENT     DIR    p6lc06
ABSENT     file   p6lc06.sh
ABSENT     DIR    p6lc07
ABSENT     file   p6lc07.sh
ABSENT     DIR    p6lc08
ABSENT     file   p6lc08.sh
ABSENT     DIR    p6lc09
ABSENT     file   p6lc09.sh
ABSENT     DIR    p6lc10
ABSENT     file   p6lc10.sh
ABSENT     DIR    p6lc11
ABSENT     file   p6lc11.sh
ABSENT     DIR    p6lc12
ABSENT     file   p6lc12.sh
ABSENT     DIR    p6scal
ABSENT     DIR    p6scal-b100000-s0
ABSENT     DIR    p6scal-b100000-s1
ABSENT     DIR    p6scal-b100000-s2
ABSENT     DIR    p6scal-b1600000-s0
ABSENT     DIR    p6scal-b1600000-s1
ABSENT     DIR    p6scal-b1600000-s2
ABSENT     DIR    p6scal-b200000-s0
ABSENT     DIR    p6scal-b200000-s1
ABSENT     DIR    p6scal-b200000-s2
ABSENT     DIR    p6scal-b400000-s0
ABSENT     DIR    p6scal-b400000-s1
ABSENT     DIR    p6scal-b400000-s2
ABSENT     DIR    p6scal-b800000-s0
ABSENT     DIR    p6scal-b800000-s1
ABSENT     DIR    p6scal-b800000-s2
ABSENT     file   packed-refs.lock
RESTORED   file   pilot_fred_french_refinitiv_yfinance.jsonl
RESTORED   file   pit_membership.parquet
RESTORED   file   pit_membership.parquet.provenance.json
RESTORED   file   pit_membership_200411_202512.parquet
RESTORED   file   pit_membership_200411_202512.parquet.provenance.json
RESTORED   file   pit_membership_200411_202606.parquet
RESTORED   file   pit_membership_200411_202606.parquet.provenance.json
RESTORED   DIR    placebo
RESTORED   DIR    placebo-g0-c0
RESTORED   DIR    placebo-g0-c1
RESTORED   DIR    placebo-g0-c2
RESTORED   DIR    placebo-g0-c3
RESTORED   DIR    placebo-g0-c4
RESTORED   DIR    placebo-g1-c0
RESTORED   DIR    placebo-g1-c1
RESTORED   DIR    placebo-g1-c2
RESTORED   DIR    placebo-g1-c3
RESTORED   DIR    placebo-g1-c4
RESTORED   DIR    placebo-g2-c0
RESTORED   DIR    placebo-g2-c1
RESTORED   DIR    placebo-g2-c2
RESTORED   DIR    placebo-g2-c3
RESTORED   DIR    placebo-g2-c4
RESTORED   DIR    placebo-g3-c0
RESTORED   DIR    placebo-g3-c1
RESTORED   DIR    placebo-g3-c2
RESTORED   DIR    placebo-g3-c3
RESTORED   DIR    placebo-g3-c4
RESTORED   DIR    placebo-g4-c0
RESTORED   DIR    placebo-g4-c1
RESTORED   DIR    placebo-g4-c2
RESTORED   DIR    placebo-g4-c3
RESTORED   DIR    placebo-g4-c4
RESTORED   DIR    placebo-g5-c0
RESTORED   DIR    placebo-g5-c1
RESTORED   DIR    placebo-g5-c2
RESTORED   DIR    placebo-g5-c3
RESTORED   DIR    placebo-g5-c4
RESTORED   DIR    placebo-g6-c0
RESTORED   DIR    placebo-g6-c1
RESTORED   DIR    placebo-g6-c2
RESTORED   DIR    placebo-g6-c3
RESTORED   DIR    placebo-g6-c4
RESTORED   DIR    placebo-g7-c0
RESTORED   DIR    placebo-g7-c1
RESTORED   DIR    placebo-g7-c2
RESTORED   DIR    placebo-g7-c3
RESTORED   DIR    placebo-g7-c4
ABSENT     DIR    placebo_g0
ABSENT     file   placebo_g0.json
ABSENT     file   placebo_g0.sh
ABSENT     DIR    placebo_shuffled
ABSENT     DIR    placebo_shuffled-g0-c0
ABSENT     DIR    placebo_shuffled-g0-c1
ABSENT     DIR    placebo_shuffled_g0
ABSENT     file   placebo_shuffled_g0.json
ABSENT     file   placebo_shuffled_g0.sh
ABSENT     DIR    pm2_baselines
ABSENT     file   pm2_baselines.json
ABSENT     file   pm2_baselines.sh
ABSENT     DIR    pm2_bayes_opt_c0
ABSENT     file   pm2_bayes_opt_c0.json
ABSENT     file   pm2_bayes_opt_c0.sh
ABSENT     DIR    pm2_bayes_opt_c1
ABSENT     file   pm2_bayes_opt_c1.json
ABSENT     file   pm2_bayes_opt_c1.sh
ABSENT     DIR    pm2_distributional_g0
ABSENT     file   pm2_distributional_g0.json
ABSENT     file   pm2_distributional_g0.sh
ABSENT     DIR    pm2_placebo_g0
ABSENT     file   pm2_placebo_g0.json
ABSENT     file   pm2_placebo_g0.sh
ABSENT     DIR    pm2_placebo_shuffled_g0
ABSENT     file   pm2_placebo_shuffled_g0.json
ABSENT     file   pm2_placebo_shuffled_g0.sh
ABSENT     DIR    pm2_random_search_search
ABSENT     file   pm2_random_search_search.json
ABSENT     file   pm2_random_search_search.sh
ABSENT     DIR    pm2_scalar_cvar5_g0
ABSENT     file   pm2_scalar_cvar5_g0.json
ABSENT     file   pm2_scalar_cvar5_g0.sh
ABSENT     DIR    pm2_scalar_g0
ABSENT     file   pm2_scalar_g0.json
ABSENT     file   pm2_scalar_g0.qacct.txt
ABSENT     file   pm2_scalar_g0.sh
ABSENT     DIR    pm2_scalar_g0_r1
ABSENT     file   pm2_scalar_g0_r1.sh
ABSENT     DIR    pm_baselines
ABSENT     file   pm_baselines.json
ABSENT     file   pm_baselines.sh
ABSENT     DIR    pm_bayes_opt_c0
ABSENT     file   pm_bayes_opt_c0.json
ABSENT     file   pm_bayes_opt_c0.sh
ABSENT     DIR    pm_distributional_g0
ABSENT     file   pm_distributional_g0.json
ABSENT     file   pm_distributional_g0.sh
ABSENT     DIR    pm_placebo_g0
ABSENT     file   pm_placebo_g0.json
ABSENT     file   pm_placebo_g0.sh
ABSENT     DIR    pm_placebo_shuffled_g0
ABSENT     file   pm_placebo_shuffled_g0.json
ABSENT     file   pm_placebo_shuffled_g0.sh
ABSENT     DIR    pm_random_search_search
ABSENT     file   pm_random_search_search.json
ABSENT     file   pm_random_search_search.sh
ABSENT     DIR    pm_scalar_cvar5_g0
ABSENT     file   pm_scalar_cvar5_g0.json
ABSENT     file   pm_scalar_cvar5_g0.sh
ABSENT     DIR    pm_scalar_g0
ABSENT     file   pm_scalar_g0.json
ABSENT     file   pm_scalar_g0.sh
RESTORED   DIR    popart_ablation
RESTORED   file   popart_ablation.json
RESTORED   file   popart_ablation.md
